fuse,lc4032ze\clk_mux\glb0\mc4\bclk0.jed,lc4032ze\clk_mux\glb0\mc4\bclk1.jed,lc4032ze\clk_mux\glb0\mc4\bclk2.jed,lc4032ze\clk_mux\glb0\mc4\bclk3.jed,lc4032ze\clk_mux\glb0\mc4\pt.jed,lc4032ze\clk_mux\glb0\mc4\npt.jed,lc4032ze\clk_mux\glb0\mc4\shared_pt.jed,lc4032ze\clk_mux\glb0\mc4\gnd.jed
76:113,0,1,0,1,0,1,0,1
77:113,0,0,1,1,0,0,1,1
81:113,0,0,0,0,1,1,1,1
