fuse,lc4032ze\ce_mux\glb0\mc1\always.jed,lc4032ze\ce_mux\glb0\mc1\npt.jed,lc4032ze\ce_mux\glb0\mc1\pt.jed,lc4032ze\ce_mux\glb0\mc1\shared.jed
86:94,1,1,0,0
87:94,1,0,0,1
