fuse,lc4032ze\ce_mux\glb0\mc8\always.jed,lc4032ze\ce_mux\glb0\mc8\npt.jed,lc4032ze\ce_mux\glb0\mc8\pt.jed,lc4032ze\ce_mux\glb0\mc8\shared.jed
86:133,1,1,0,0
87:133,1,0,0,1
