fuse,lc4032ze\ce_mux\glb0\mc11\always.jed,lc4032ze\ce_mux\glb0\mc11\npt.jed,lc4032ze\ce_mux\glb0\mc11\pt.jed,lc4032ze\ce_mux\glb0\mc11\shared.jed
86:144,1,1,0,0
87:144,1,0,0,1
