fuse,lc4032ze\ce_mux\glb0\mc5\always.jed,lc4032ze\ce_mux\glb0\mc5\npt.jed,lc4032ze\ce_mux\glb0\mc5\pt.jed,lc4032ze\ce_mux\glb0\mc5\shared.jed
86:114,1,1,0,0
87:114,1,0,0,1
