fuse,lc4032ze\ce_mux\glb0\mc2\always.jed,lc4032ze\ce_mux\glb0\mc2\npt.jed,lc4032ze\ce_mux\glb0\mc2\pt.jed,lc4032ze\ce_mux\glb0\mc2\shared.jed
86:103,1,1,0,0
87:103,1,0,0,1
