fuse,lc4032ze\ce_mux\glb0\mc9\always.jed,lc4032ze\ce_mux\glb0\mc9\npt.jed,lc4032ze\ce_mux\glb0\mc9\pt.jed,lc4032ze\ce_mux\glb0\mc9\shared.jed
86:134,1,1,0,0
87:134,1,0,0,1
