fuse,lc4032ze\ce_mux\glb0\mc10\always.jed,lc4032ze\ce_mux\glb0\mc10\npt.jed,lc4032ze\ce_mux\glb0\mc10\pt.jed,lc4032ze\ce_mux\glb0\mc10\shared.jed
86:143,1,1,0,0
87:143,1,0,0,1
