fuse,lc4032ze\ce_mux\glb0\mc14\always.jed,lc4032ze\ce_mux\glb0\mc14\npt.jed,lc4032ze\ce_mux\glb0\mc14\pt.jed,lc4032ze\ce_mux\glb0\mc14\shared.jed
86:163,1,1,0,0
87:163,1,0,0,1
