fuse,lc4032ze\ce_mux\glb0\mc7\always.jed,lc4032ze\ce_mux\glb0\mc7\npt.jed,lc4032ze\ce_mux\glb0\mc7\pt.jed,lc4032ze\ce_mux\glb0\mc7\shared.jed
86:124,1,1,0,0
87:124,1,0,0,1
