fuse,lc4032ze\ce_mux\glb0\mc6\always.jed,lc4032ze\ce_mux\glb0\mc6\npt.jed,lc4032ze\ce_mux\glb0\mc6\pt.jed,lc4032ze\ce_mux\glb0\mc6\shared.jed
86:123,1,1,0,0
87:123,1,0,0,1
