fuse,lc4032ze\ce_mux\glb0\mc3\always.jed,lc4032ze\ce_mux\glb0\mc3\npt.jed,lc4032ze\ce_mux\glb0\mc3\pt.jed,lc4032ze\ce_mux\glb0\mc3\shared.jed
86:104,1,1,0,0
87:104,1,0,0,1
