fuse,lc4032ze\grp\gi2\glb0\fb_A2.jed,lc4032ze\grp\gi2\glb0\fb_A9.jed,lc4032ze\grp\gi2\glb0\fb_A13.jed,lc4032ze\grp\gi2\glb0\fb_B12.jed,lc4032ze\grp\gi2\glb0\pin_19.jed,lc4032ze\grp\gi2\glb0\pin_45.jed
4:86,1,1,1,1,0,1
4:87,1,1,0,1,1,1
4:88,1,0,1,1,1,1
5:86,1,1,1,1,1,0
5:87,0,1,1,1,1,1
5:88,1,1,1,0,1,1
