pin,type,bank,glb,mc,oe,clk
1,tdi,,,,,
2,io,0,0,8,,
3,io,0,0,10,,
4,io,0,0,11,,
5,gndo,0,,,,
6,vcco,0,,,,
7,io,0,1,15,,
8,io,0,1,12,,
9,io,0,1,10,,
10,io,0,1,8,,
11,tck,,,,,
12,vcc_core,,,,,
13,gnd,,,,,
14,io,0,1,6,,
15,io,0,1,4,,
16,io,0,1,2,,
17,io,0,1,0,,
18,clock,0,1,,,1
19,clock,1,2,,,2
20,io,1,2,0,,
21,io,1,2,1,,
22,io,1,2,2,,
23,io,1,2,4,,
24,io,1,2,6,,
25,tms,,,,,
26,io,1,2,8,,
27,io,1,2,10,,
28,io,1,2,11,,
29,gndo,1,,,,
30,vcco,1,,,,
31,io,1,3,15,,
32,io,1,3,12,,
33,io,1,3,10,,
34,io,1,3,8,,
35,tdo,,,,,
36,vcc_core,,,,,
37,gnd,,,,,
38,io,1,3,6,,
39,io,1,3,4,,
40,io,1,3,2,,
41,io,1,3,0,1,
42,clock,1,3,,,3
43,clock,0,0,,,0
44,io,0,0,0,0,
45,io,0,0,1,,
46,io,0,0,2,,
47,io,0,0,4,,
48,io,0,0,6,,
