fuse,lc4032ze\grp\gi8\glb1\fb_A8.jed,lc4032ze\grp\gi8\glb1\fb_B0.jed,lc4032ze\grp\gi8\glb1\pin_33.jed,lc4032ze\grp\gi8\glb1\fb_A3.jed,lc4032ze\grp\gi8\glb1\pin_20.jed,lc4032ze\grp\gi8\glb1\pin_45.jed
16:1,1,0,1,1,1,1
16:2,0,1,1,1,1,1
17:1,1,1,0,1,1,1
