pin,type,bank,glb,mc,oe,clk
1,tdi,,,,,
2,io,0,0,5,,
3,io,0,0,6,,
4,io,0,0,7,,
5,gnd,,,,,
6,vcco_bank_0,,,,,
7,io,0,0,8,,
8,io,0,0,9,,
9,io,0,0,10,,
10,io,0,0,11,,
11,tck,,,,,
12,vcc_core,,,,,
13,gnd,,,,,
14,io,0,0,12,,
15,io,0,0,13,,
16,io,0,0,14,,
17,io,0,0,15,,
18,clk,0,0,,,1
19,clk,1,1,,,2
20,io,1,1,0,,
21,io,1,1,1,,
22,io,1,1,2,,
23,io,1,1,3,,
24,io,1,1,4,,
25,tms,,,,,
26,io,1,1,5,,
27,io,1,1,6,,
28,io,1,1,7,,
29,gnd,,,,,
30,vcco_bank_1,,,,,
31,io,1,1,8,,
32,io,1,1,9,,
33,io,1,1,10,,
34,io,1,1,11,,
35,tdo,,,,,
36,vcc_core,,,,,
37,gnd,,,,,
38,io,1,1,12,,
39,io,1,1,13,,
40,io,1,1,14,,
41,io,1,1,15,1,
42,clk,1,1,,,3
43,clk,0,0,,,0
44,io,0,0,0,0,
45,io,0,0,1,,
46,io,0,0,2,,
47,io,0,0,3,,
48,io,0,0,4,,
