fuse,lc4032ze\oe_mux\glb1\mc0\off.jed,lc4032ze\oe_mux\glb1\mc0\on.jed,lc4032ze\oe_mux\glb1\mc0\npt.jed,lc4032ze\oe_mux\glb1\mc0\pt.jed,lc4032ze\oe_mux\glb1\mc0\goe0.jed,lc4032ze\oe_mux\glb1\mc0\goe1.jed,lc4032ze\oe_mux\glb1\mc0\goe2.jed,lc4032ze\oe_mux\glb1\mc0\goe3.jed
92:7,1,0,1,0,0,1,0,1
93:7,1,1,0,0,1,1,0,0
94:7,1,1,1,1,0,0,0,0
