fuse,lc4032ze\oe_mux\glb1\mc13\off.jed,lc4032ze\oe_mux\glb1\mc13\on.jed,lc4032ze\oe_mux\glb1\mc13\npt.jed,lc4032ze\oe_mux\glb1\mc13\pt.jed,lc4032ze\oe_mux\glb1\mc13\goe0.jed,lc4032ze\oe_mux\glb1\mc13\goe1.jed,lc4032ze\oe_mux\glb1\mc13\goe2.jed,lc4032ze\oe_mux\glb1\mc13\goe3.jed
92:68,1,0,1,0,0,1,0,1
93:68,1,1,0,0,1,1,0,0
94:68,1,1,1,1,0,0,0,0
