fuse,lc4032ze\oe_mux\glb1\mc7\off.jed,lc4032ze\oe_mux\glb1\mc7\on.jed,lc4032ze\oe_mux\glb1\mc7\npt.jed,lc4032ze\oe_mux\glb1\mc7\pt.jed,lc4032ze\oe_mux\glb1\mc7\goe0.jed,lc4032ze\oe_mux\glb1\mc7\goe1.jed,lc4032ze\oe_mux\glb1\mc7\goe2.jed,lc4032ze\oe_mux\glb1\mc7\goe3.jed
92:38,1,0,1,0,0,1,0,1
93:38,1,1,0,0,1,1,0,0
94:38,1,1,1,1,0,0,0,0
