fuse,lc4032ze\oe_mux\glb1\mc4\off.jed,lc4032ze\oe_mux\glb1\mc4\on.jed,lc4032ze\oe_mux\glb1\mc4\npt.jed,lc4032ze\oe_mux\glb1\mc4\pt.jed,lc4032ze\oe_mux\glb1\mc4\goe0.jed,lc4032ze\oe_mux\glb1\mc4\goe1.jed,lc4032ze\oe_mux\glb1\mc4\goe2.jed,lc4032ze\oe_mux\glb1\mc4\goe3.jed
92:27,1,0,1,0,0,1,0,1
93:27,1,1,0,0,1,1,0,0
94:27,1,1,1,1,0,0,0,0
