fuse,lc4032ze\oe_mux\glb1\mc1\goe0.jed,lc4032ze\oe_mux\glb1\mc1\goe1.jed,lc4032ze\oe_mux\glb1\mc1\on.jed,lc4032ze\oe_mux\glb1\mc1\off.jed,lc4032ze\oe_mux\glb1\mc1\pt.jed,lc4032ze\oe_mux\glb1\mc1\npt.jed
92:8,0,1,0,1,0,1
93:8,1,1,1,1,0,0
94:8,0,0,1,1,1,1
