fuse,lc4032ze\grp\gi7\glb1\fb_A6.jed,lc4032ze\grp\gi7\glb1\fb_B1.jed,lc4032ze\grp\gi7\glb1\fb_B4.jed,lc4032ze\grp\gi7\glb1\fb_B13.jed,lc4032ze\grp\gi7\glb1\pin_10.jed,lc4032ze\grp\gi7\glb1\pin_45.jed
14:0,1,1,1,1,0,1
14:1,1,0,1,1,1,1
14:2,1,1,0,1,1,1
15:1,1,1,1,0,1,1
15:2,0,1,1,1,1,1
