fuse,lc4032ze\grp\gi10\glb0\pin_23.jed,lc4032ze\grp\gi10\glb0\pin_26.jed,lc4032ze\grp\gi10\glb0\pin_43.jed,lc4032ze\grp\gi10\glb0\fb_A2.jed,lc4032ze\grp\gi10\glb0\fb_B3.jed,lc4032ze\grp\gi10\glb0\fb_B11.jed
20:86,0,1,1,1,1,1
20:87,1,0,1,1,1,1
21:86,1,1,0,1,1,1
