fuse,lc4032ze\grp\gi6\glb1\fb_B10.jed,lc4032ze\grp\gi6\glb1\pin_8.jed,lc4032ze\grp\gi6\glb1\pin_22.jed,lc4032ze\grp\gi6\glb1\pin_40.jed,lc4032ze\grp\gi6\glb1\pin_4.jed,lc4032ze\grp\gi6\glb1\fb_B7.jed
12:0,1,1,0,1,1,1
12:1,1,0,1,1,1,1
13:0,1,1,1,0,1,1
13:2,0,1,1,1,1,1
