fuse,lc4032ze\orm\glb0\mc9\self.jed,lc4032ze\orm\glb0\mc9\o1.jed,lc4032ze\orm\glb0\mc9\o2.jed,lc4032ze\orm\glb0\mc9\o3.jed,lc4032ze\orm\glb0\mc9\o4.jed,lc4032ze\orm\glb0\mc9\o5.jed,lc4032ze\orm\glb0\mc9\o6.jed,lc4032ze\orm\glb0\mc9\o7.jed
89:134,0,1,0,1,0,1,0,1
90:134,0,0,1,1,0,0,1,1
91:134,0,0,0,0,1,1,1,1
