fuse,lc4032ze\orm\glb0\mc6\self.jed,lc4032ze\orm\glb0\mc6\o1.jed,lc4032ze\orm\glb0\mc6\o2.jed,lc4032ze\orm\glb0\mc6\o3.jed,lc4032ze\orm\glb0\mc6\o4.jed,lc4032ze\orm\glb0\mc6\o5.jed,lc4032ze\orm\glb0\mc6\o6.jed,lc4032ze\orm\glb0\mc6\o7.jed
89:123,0,1,0,1,0,1,0,1
90:123,0,0,1,1,0,0,1,1
91:123,0,0,0,0,1,1,1,1
