fuse,lc4032ze\orm\glb0\mc3\self.jed,lc4032ze\orm\glb0\mc3\o1.jed,lc4032ze\orm\glb0\mc3\o2.jed,lc4032ze\orm\glb0\mc3\o3.jed,lc4032ze\orm\glb0\mc3\o4.jed,lc4032ze\orm\glb0\mc3\o5.jed,lc4032ze\orm\glb0\mc3\o6.jed,lc4032ze\orm\glb0\mc3\o7.jed
89:104,0,1,0,1,0,1,0,1
90:104,0,0,1,1,0,0,1,1
91:104,0,0,0,0,1,1,1,1
