fuse,lc4032ze\orm\glb0\mc4\self.jed,lc4032ze\orm\glb0\mc4\o1.jed,lc4032ze\orm\glb0\mc4\o2.jed,lc4032ze\orm\glb0\mc4\o3.jed,lc4032ze\orm\glb0\mc4\o4.jed,lc4032ze\orm\glb0\mc4\o5.jed,lc4032ze\orm\glb0\mc4\o6.jed,lc4032ze\orm\glb0\mc4\o7.jed
89:113,0,1,0,1,0,1,0,1
90:113,0,0,1,1,0,0,1,1
91:113,0,0,0,0,1,1,1,1
