fuse,lc4032ze\orm\glb0\mc5\self.jed,lc4032ze\orm\glb0\mc5\o1.jed,lc4032ze\orm\glb0\mc5\o2.jed,lc4032ze\orm\glb0\mc5\o3.jed,lc4032ze\orm\glb0\mc5\o4.jed,lc4032ze\orm\glb0\mc5\o5.jed,lc4032ze\orm\glb0\mc5\o6.jed,lc4032ze\orm\glb0\mc5\o7.jed
89:114,0,1,0,1,0,1,0,1
90:114,0,0,1,1,0,0,1,1
91:114,0,0,0,0,1,1,1,1
