fuse,lc4032ze\orm\glb0\mc8\self.jed,lc4032ze\orm\glb0\mc8\o1.jed,lc4032ze\orm\glb0\mc8\o2.jed,lc4032ze\orm\glb0\mc8\o3.jed,lc4032ze\orm\glb0\mc8\o4.jed,lc4032ze\orm\glb0\mc8\o5.jed,lc4032ze\orm\glb0\mc8\o6.jed,lc4032ze\orm\glb0\mc8\o7.jed
89:133,0,1,0,1,0,1,0,1
90:133,0,0,1,1,0,0,1,1
91:133,0,0,0,0,1,1,1,1
