fuse,lc4032ze\orm\glb0\mc2\self.jed,lc4032ze\orm\glb0\mc2\o1.jed,lc4032ze\orm\glb0\mc2\o2.jed,lc4032ze\orm\glb0\mc2\o3.jed,lc4032ze\orm\glb0\mc2\o4.jed,lc4032ze\orm\glb0\mc2\o5.jed,lc4032ze\orm\glb0\mc2\o6.jed,lc4032ze\orm\glb0\mc2\o7.jed
89:103,0,1,0,1,0,1,0,1
90:103,0,0,1,1,0,0,1,1
91:103,0,0,0,0,1,1,1,1
