fuse,lc4032ze\orm\glb0\mc10\self.jed,lc4032ze\orm\glb0\mc10\o1.jed,lc4032ze\orm\glb0\mc10\o2.jed,lc4032ze\orm\glb0\mc10\o3.jed,lc4032ze\orm\glb0\mc10\o4.jed,lc4032ze\orm\glb0\mc10\o5.jed,lc4032ze\orm\glb0\mc10\o6.jed,lc4032ze\orm\glb0\mc10\o7.jed
89:143,0,1,0,1,0,1,0,1
90:143,0,0,1,1,0,0,1,1
91:143,0,0,0,0,1,1,1,1
