fuse,lc4032ze\pull\glb1\mc3\OFF.jed,lc4032ze\pull\glb1\mc3\UP.jed,lc4032ze\pull\glb1\mc3\DOWN.jed,lc4032ze\pull\glb1\mc3\HOLD.jed
95:18,0,0,1,1
96:18,1,0,1,0
