fuse,lc4032ze\pull\glb1\mc8\OFF.jed,lc4032ze\pull\glb1\mc8\UP.jed,lc4032ze\pull\glb1\mc8\DOWN.jed,lc4032ze\pull\glb1\mc8\HOLD.jed
95:47,0,0,1,1
96:47,1,0,1,0
