fuse,lc4032ze\pull\glb1\mc11\OFF.jed,lc4032ze\pull\glb1\mc11\UP.jed,lc4032ze\pull\glb1\mc11\DOWN.jed,lc4032ze\pull\glb1\mc11\HOLD.jed
95:58,0,0,1,1
96:58,1,0,1,0
