fuse,lc4032ze\pull\glb1\mc0\OFF.jed,lc4032ze\pull\glb1\mc0\UP.jed,lc4032ze\pull\glb1\mc0\DOWN.jed,lc4032ze\pull\glb1\mc0\HOLD.jed
95:7,0,0,1,1
96:7,1,0,1,0
