fuse,lc4032ze\pull\glb1\mc4\OFF.jed,lc4032ze\pull\glb1\mc4\UP.jed,lc4032ze\pull\glb1\mc4\DOWN.jed,lc4032ze\pull\glb1\mc4\HOLD.jed
95:27,0,0,1,1
96:27,1,0,1,0
