fuse,lc4032ze\pull\glb1\mc2\OFF.jed,lc4032ze\pull\glb1\mc2\UP.jed,lc4032ze\pull\glb1\mc2\DOWN.jed,lc4032ze\pull\glb1\mc2\HOLD.jed
95:17,0,0,1,1
96:17,1,0,1,0
