fuse,lc4032ze\pull\glb1\mc9\OFF.jed,lc4032ze\pull\glb1\mc9\UP.jed,lc4032ze\pull\glb1\mc9\DOWN.jed,lc4032ze\pull\glb1\mc9\HOLD.jed
95:48,0,0,1,1
96:48,1,0,1,0
