fuse,lc4032ze\pull\glb1\mc12\OFF.jed,lc4032ze\pull\glb1\mc12\UP.jed,lc4032ze\pull\glb1\mc12\DOWN.jed,lc4032ze\pull\glb1\mc12\HOLD.jed
95:67,0,0,1,1
96:67,1,0,1,0
