fuse,lc4032ze\grp\gi11\glb0\pin_3.jed,lc4032ze\grp\gi11\glb0\pin_21.jed,lc4032ze\grp\gi11\glb0\fb_A11.jed,lc4032ze\grp\gi11\glb0\pin_47.jed,lc4032ze\grp\gi11\glb0\fb_A5.jed,lc4032ze\grp\gi11\glb0\pin_28.jed
22:86,1,0,1,1,1,1
23:87,0,1,1,1,1,1
