fuse,lc4032ze\grp\gi11\glb1\pin_3.jed,lc4032ze\grp\gi11\glb1\pin_21.jed,lc4032ze\grp\gi11\glb1\fb_A11.jed,lc4032ze\grp\gi11\glb1\pin_47.jed,lc4032ze\grp\gi11\glb1\fb_A5.jed,lc4032ze\grp\gi11\glb1\pin_28.jed
22:0,1,0,1,1,1,1
23:1,0,1,1,1,1,1
