fuse,lc4032ze\grp\gi13\glb0\fb_A10.jed,lc4032ze\grp\gi13\glb0\pin_2.jed,lc4032ze\grp\gi13\glb0\pin_39.jed,lc4032ze\grp\gi13\glb0\pin_14.jed,lc4032ze\grp\gi13\glb0\fb_A5.jed,lc4032ze\grp\gi13\glb0\pin_9.jed
26:88,0,1,1,1,1,1
27:86,1,1,0,1,1,1
27:87,1,0,1,1,1,1
