fuse,lc4032ze\grp\gi3\glb1\fb_A12.jed,lc4032ze\grp\gi3\glb1\pin_28.jed,lc4032ze\grp\gi3\glb1\pin_31.jed,lc4032ze\grp\gi3\glb1\pin_14.jed,lc4032ze\grp\gi3\glb1\pin_44.jed,lc4032ze\grp\gi3\glb1\fb_B12.jed
6:0,1,1,1,0,1,1
6:1,1,0,1,1,1,1
6:2,0,1,1,1,1,1
7:0,1,1,1,1,0,1
7:1,1,1,0,1,1,1
7:2,1,1,1,1,1,0
