fuse,lc4032ze\grp\gi15\glb1\fb_B5.jed,lc4032ze\grp\gi15\glb1\fb_B8.jed,lc4032ze\grp\gi15\glb1\fb_B14.jed,lc4032ze\grp\gi15\glb1\pin_19.jed,lc4032ze\grp\gi15\glb1\pin_39.jed,lc4032ze\grp\gi15\glb1\fb_B0.jed
30:2,0,1,1,1,1,1
31:1,1,1,0,1,1,1
31:2,1,0,1,1,1,1
