fuse,lc4032ze\clk_mux\glb1\mc1\bclk0.jed,lc4032ze\clk_mux\glb1\mc1\bclk1.jed,lc4032ze\clk_mux\glb1\mc1\bclk2.jed,lc4032ze\clk_mux\glb1\mc1\bclk3.jed,lc4032ze\clk_mux\glb1\mc1\pt.jed,lc4032ze\clk_mux\glb1\mc1\npt.jed,lc4032ze\clk_mux\glb1\mc1\shared_pt.jed,lc4032ze\clk_mux\glb1\mc1\gnd.jed
76:8,0,1,0,1,0,1,0,1
77:8,0,0,1,1,0,0,1,1
81:8,0,0,0,0,1,1,1,1
