fuse,lc4032ze\clk_mux\glb1\mc14\bclk0.jed,lc4032ze\clk_mux\glb1\mc14\bclk1.jed,lc4032ze\clk_mux\glb1\mc14\bclk2.jed,lc4032ze\clk_mux\glb1\mc14\bclk3.jed,lc4032ze\clk_mux\glb1\mc14\pt.jed,lc4032ze\clk_mux\glb1\mc14\npt.jed,lc4032ze\clk_mux\glb1\mc14\shared_pt.jed,lc4032ze\clk_mux\glb1\mc14\gnd.jed
76:77,0,1,0,1,0,1,0,1
77:77,0,0,1,1,0,0,1,1
81:77,0,0,0,0,1,1,1,1
