fuse,lc4032ze\xor\glb0\mc7\normal.jed,lc4032ze\xor\glb0\mc7\invert.jed,lc4032ze\xor\glb0\mc7\xor_pt0.jed,lc4032ze\xor\glb0\mc7\xor_npt0.jed
72:124,1,1,0,0
73:124,0,1,0,1
