fuse,lc4032ze\xor\glb0\mc4\normal.jed,lc4032ze\xor\glb0\mc4\invert.jed,lc4032ze\xor\glb0\mc4\xor_pt0.jed,lc4032ze\xor\glb0\mc4\xor_npt0.jed
72:113,1,1,0,0
73:113,0,1,0,1
