fuse,lc4032ze\xor\glb0\mc11\normal.jed,lc4032ze\xor\glb0\mc11\invert.jed,lc4032ze\xor\glb0\mc11\xor_pt0.jed,lc4032ze\xor\glb0\mc11\xor_npt0.jed
72:144,1,1,0,0
73:144,0,1,0,1
