fuse,lc4032ze\xor\glb0\mc6\normal.jed,lc4032ze\xor\glb0\mc6\invert.jed,lc4032ze\xor\glb0\mc6\xor_pt0.jed,lc4032ze\xor\glb0\mc6\xor_npt0.jed
72:123,1,1,0,0
73:123,0,1,0,1
