fuse,lc4032ze\xor\glb0\mc5\normal.jed,lc4032ze\xor\glb0\mc5\invert.jed,lc4032ze\xor\glb0\mc5\xor_pt0.jed,lc4032ze\xor\glb0\mc5\xor_npt0.jed
72:114,1,1,0,0
73:114,0,1,0,1
