fuse,lc4032ze\xor\glb0\mc9\normal.jed,lc4032ze\xor\glb0\mc9\invert.jed,lc4032ze\xor\glb0\mc9\xor_pt0.jed,lc4032ze\xor\glb0\mc9\xor_npt0.jed
72:134,1,1,0,0
73:134,0,1,0,1
