fuse,lc4032ze\xor\glb0\mc8\normal.jed,lc4032ze\xor\glb0\mc8\invert.jed,lc4032ze\xor\glb0\mc8\xor_pt0.jed,lc4032ze\xor\glb0\mc8\xor_npt0.jed
72:133,1,1,0,0
73:133,0,1,0,1
