fuse,lc4032ze\xor\glb0\mc13\normal.jed,lc4032ze\xor\glb0\mc13\invert.jed,lc4032ze\xor\glb0\mc13\xor_pt0.jed,lc4032ze\xor\glb0\mc13\xor_npt0.jed
72:154,1,1,0,0
73:154,0,1,0,1
