fuse,lc4032ze\xor\glb0\mc1\normal.jed,lc4032ze\xor\glb0\mc1\invert.jed,lc4032ze\xor\glb0\mc1\xor_pt0.jed,lc4032ze\xor\glb0\mc1\xor_npt0.jed
72:94,1,1,0,0
73:94,0,1,0,1
