fuse,lc4032ze\xor\glb0\mc10\normal.jed,lc4032ze\xor\glb0\mc10\invert.jed,lc4032ze\xor\glb0\mc10\xor_pt0.jed,lc4032ze\xor\glb0\mc10\xor_npt0.jed
72:143,1,1,0,0
73:143,0,1,0,1
