fuse,lc4032ze\grp\gi17\glb1\fb_A1.jed,lc4032ze\grp\gi17\glb1\pin_15.jed,lc4032ze\grp\gi17\glb1\pin_27.jed,lc4032ze\grp\gi17\glb1\fb_A11.jed,lc4032ze\grp\gi17\glb1\pin_40.jed,lc4032ze\grp\gi17\glb1\fb_B9.jed
34:0,1,0,1,1,1,1
35:1,0,1,1,1,1,1
