fuse,lc4032ze\grp\gi17\glb0\fb_A1.jed,lc4032ze\grp\gi17\glb0\pin_15.jed,lc4032ze\grp\gi17\glb0\pin_27.jed,lc4032ze\grp\gi17\glb0\fb_A11.jed,lc4032ze\grp\gi17\glb0\pin_40.jed,lc4032ze\grp\gi17\glb0\fb_B9.jed
34:86,1,0,1,1,1,1
35:87,0,1,1,1,1,1
