fuse,lc4032ze\pull\glb0\mc12\OFF.jed,lc4032ze\pull\glb0\mc12\UP.jed,lc4032ze\pull\glb0\mc12\DOWN.jed,lc4032ze\pull\glb0\mc12\HOLD.jed
95:153,0,0,1,1
96:153,1,0,1,0
