fuse,lc4032ze\pull\glb0\mc10\OFF.jed,lc4032ze\pull\glb0\mc10\UP.jed,lc4032ze\pull\glb0\mc10\DOWN.jed,lc4032ze\pull\glb0\mc10\HOLD.jed
95:143,0,0,1,1
96:143,1,0,1,0
