fuse,lc4032ze\pull\glb0\mc4\OFF.jed,lc4032ze\pull\glb0\mc4\UP.jed,lc4032ze\pull\glb0\mc4\DOWN.jed,lc4032ze\pull\glb0\mc4\HOLD.jed
95:113,0,0,1,1
96:113,1,0,1,0
