fuse,lc4032ze\pull\glb0\mc5\OFF.jed,lc4032ze\pull\glb0\mc5\UP.jed,lc4032ze\pull\glb0\mc5\DOWN.jed,lc4032ze\pull\glb0\mc5\HOLD.jed
95:114,0,0,1,1
96:114,1,0,1,0
