fuse,lc4032ze\pull\glb0\mc11\OFF.jed,lc4032ze\pull\glb0\mc11\UP.jed,lc4032ze\pull\glb0\mc11\DOWN.jed,lc4032ze\pull\glb0\mc11\HOLD.jed
95:144,0,0,1,1
96:144,1,0,1,0
